,origintime,latitude,longitude,depth
220,2003-11-27 20:21:40.123787,-75.394837,160.650263,-4982.666
221,2003-11-27 20:28:39.838145,-75.24327,160.555333,2037.598
222,2003-11-27 21:07:52.783064,-75.124605,160.580472,8659.179999999998
223,2003-11-27 22:55:51.919805,-75.21895,160.47116,6891.112999999999
224,2003-11-28 01:32:02.177580,-75.380386,160.835132,980.225
225,2003-11-28 02:31:26.056642,-75.319908,160.800674,-4965.332
226,2003-11-28 02:54:31.904012,-75.383827,161.059401,-4965.332
227,2003-11-28 06:01:24.027736,-75.401779,160.684776,-4531.982
228,2003-11-28 06:07:15.990910,-75.301885,160.630551,-1914.551
229,2003-11-28 06:32:56.841306,-75.407861,161.028291,-4965.332
230,2003-11-28 08:50:52.212709,-75.311345,160.79983,-4965.332
231,2003-11-28 10:36:31.780286,-75.316794,160.687002,-1082.52
232,2003-11-28 11:36:09.039406,-75.390671,160.845798,694.2139999999999
233,2003-11-28 12:13:26.775112,-75.391309,160.857411,-4991.333
234,2003-11-28 13:16:46.833086,-75.155793,161.055981,11016.602
235,2003-11-28 14:36:54.399689,-75.143898,160.533613,8936.523
236,2003-11-28 17:23:21.933464,-75.338374,160.991982,-4982.666
237,2003-11-28 18:12:23.616158,-75.386375,160.970419,-4965.332
238,2003-11-28 19:38:59.525290,-75.342145,160.858886,-4982.666
239,2003-11-28 20:17:43.431802,-75.337316,160.887155,-4991.333
240,2003-11-29 00:32:27.188522,-75.487918,161.20645,-4791.991999999999
241,2003-11-29 08:45:58.699072,-75.304101,160.815953,2002.93
242,2003-11-29 12:10:47.845205,-75.422988,160.942844,25282.471
243,2003-11-29 21:29:27.680775,-75.229284,160.713343,14778.076000000001
244,2003-11-30 03:38:00.234011,-75.377249,160.877884,-4115.967000000001
245,2003-11-30 06:16:13.810415,-75.364792,160.617622,-4965.332
246,2003-11-30 08:03:13.363804,-75.268089,160.587145,841.553
247,2003-11-30 10:06:01.536174,-75.360866,160.638791,-4965.332
248,2003-11-30 16:56:31.408200,-75.286995,160.568099,21590.332
249,2003-11-30 17:28:04.891326,-75.262921,160.618001,-458.49600000000004
250,2003-11-30 18:45:05.650962,-75.278423,160.654482,-1047.852
251,2003-11-30 20:31:29.097299,-75.355239,161.062222,-4965.332
252,2003-12-01 00:14:10.067501,-75.182792,161.010482,9768.554999999998
253,2003-12-01 05:02:02.749165,-75.273156,160.574588,61.523
254,2003-12-01 16:22:57.234348,-75.154554,161.213488,12958.008
255,2003-12-02 09:03:26.863698,-75.261312,160.730807,997.559
256,2003-12-02 11:34:50.054625,-75.411482,160.884545,-1065.186
257,2003-12-02 13:28:00.244981,-75.423324,160.436045,-2919.922
258,2003-12-02 18:10:10.994333,-75.235535,159.13035,17326.172
259,2003-12-02 19:12:27.022632,-75.198221,160.427028,9664.551
