Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
354,114.882812,-4.824219,,119.707031,,,YES,,,YES,Original IDE swithed to shallow event
356,113.828125,-4.912109,,118.740234,,,YES,,,YES,Original IDE swithed to shallow event
357,108.378906,108.378906,,0,YES,,YES,YES,,,
358,-4.824219,-4.824219,,0,YES,,,,YES,YES,
359,116.113281,116.113281,,0,YES,,YES,YES,,,
360,-4.648438,-0.957031,,3.691407,YES,,,,YES,YES,
362,132.285156,132.285156,,0,YES,,YES,YES,,,
363,-4.824219,-4.824219,,0,YES,,,,YES,YES,
365,-4.824219,-4.824219,,0,YES,,,,YES,YES,
366,120.332031,-4.824219,,125.15625,,,YES,,,YES,Original IDE swithed to shallow event
367,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
368,104.511719,104.511719,,0,YES,,YES,YES,,,
369,128.417969,128.417969,,0,YES,,YES,YES,,,
370,124.726562,-4.648438,,129.375,,,YES,,,YES,Original IDE swithed to shallow event
372,103.457031,103.457031,,0,YES,,YES,YES,,,
373,104.335938,-4.824219,,109.160157,,,YES,,,YES,Original IDE swithed to shallow event
374,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
375,117.167969,117.519531,,0.351562,YES,,YES,YES,,,
376,112.773438,91.679688,,21.09375,,,YES,YES,,,
377,123.496094,-4.824219,,128.320313,,,YES,,,YES,Original IDE swithed to shallow event
378,-4.824219,-4.824219,,0,YES,,,,YES,YES,
379,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
382,115.761719,115.761719,,0,YES,,YES,YES,,,
386,116.289062,-4.912109,,121.201171,,,YES,,,YES,Original IDE swithed to shallow event
387,-4.912109,-4.912109,,0,YES,,,,YES,YES,
389,124.199219,124.023438,,0.175781,YES,,YES,YES,,,
390,122.617188,-4.912109,,127.529297,,,YES,,,YES,Original IDE swithed to shallow event
